GA4;
K2 - 735 ;1103.1
K2 - 887 ;1190.38
K3 - 171 ;2805.38
K3 - 35 ;594.63
K3 - 402 ;1483.75
K3 - 609 ;2604.57
K3 - 680 ;1601.61
K3 - 698 ;2658.77
K3 - 703 ;1575.83
K3 - 735 ;2194.18
K3 - 887 ;1213.44
K4 - 171 ;2013.04
K4 - 35 ;1423.16
K4 - 402 ;1309.11
K4 - 609 ;2128.16
K4 - 680 ;2694.0
K4 - 698 ;1619.8
K4 - 703 ;1623.96
K4 - 735 ;1775.09
K4 - 887 ;1027.04
GA1 - 171 ;1725.28
GA1 - 35 ;625.81
GA1 - 402 ;1553.6
GA1 - 609 ;923.96
GA1 - 680 ;2405.64
GA1 - 698 ;1013.4
GA1 - 703 ;1372.68
GA1 - 735 ;3452.99
GA1 - 887 ;1718.84
GA2 - 171 ;1457.36
GA2 - 35 ;400.23
GA2 - 402 ;1449.28
GA2 - 609 ;1495.35
GA2 - 680 ;1308.55
GA2 - 698 ;1680.32
GA2 - 703 ;2693.81
GA2 - 735 ;3712.49
GA2 - 887 ;1677.07
GA3 - 171 ;1345.65
GA3 - 35 ;1545.51
GA3 - 402 ;1580.84
GA3 - 609 ;2014.72
GA3 - 680 ;1340.35
GA3 - 698 ;1347.22
GA3 - 703 ;1852.1
GA3 - 735 ;4106.51
GA3 - 887 ;1255.68
GA4 - 171 ;1534.83
GA4 - 35 ;1373.14
GA4 - 402 ;1787.21
GA4 - 609 ;1421.39
GA4 - 680 ;1651.39
GA4 - 698 ;955.05
GA4 - 703 ;1922.78
GA4 - 735 ;2113.54
GA4 - 887 ;1897.5
K1 - 171 ;1367.15
K1 - 35 ;879.72
K1 - 402 ;1626.61
K1 - 609 ;1380.0
K1 - 680 ;1164.4
K1 - 698 ;2239.4
K1 - 703 ;2571.64
K1 - 735 ;1877.55
K1 - 887 ;3680.34
K2 - 171 ;2675.0
K2 - 35 ;1104.43
K2 - 402 ;1995.29
K2 - 609 ;1315.3
K2 - 680 ;1833.93
K2 - 698 ;1193.44
K2 - 703 ;3301.99
K2 - 735 ;3207.28
K2 - 887 ;2107.91
K3 - 171 ;2374.21
K3 - 35 ;517.84
K3 - 402 ;1170.11
K3 - 609 ;1078.79
K3 - 680 ;2572.07
K3 - 698 ;2133.89
K3 - 703 ;1826.87
K3 - 735 ;2812.69
K3 - 887 ;4592.23
K4 - 171 ;1441.71
K4 - 35 ;1297.83
K4 - 402 ;1025.73
K4 - 609 ;2582.83
K4 - 680 ;1417.61
K4 - 698 ;1499.33
K4 - 703 ;2846.88
K4 - 735 ;1962.59
K4 - 887 ;2462.97
GA1 - 171 ;1504.21
GA1 - 35 ;187.24
GA1 - 402 ;1327.85
GA1 - 609 ;1555.13
GA1 - 680 ;1022.19
GA1 - 698 ;546.71
GA1 - 703 ;819.81
GA1 - 735 ;2216.24
GA1 - 887 ;1098.66
GA2 - 171 ;844.15
GA2 - 35 ;367.71
GA2 - 402 ;1355.42
GA2 - 609 ;834.76
GA2 - 680 ;920.96
GA2 - 698 ;1437.38
GA2 - 703 ;1098.77
GA2 - 735 ;1941.93
GA2 - 887 ;1265.37
GA3 - 171 ;378.68
GA3 - 35 ;235.82
GA3 - 402 ;2378.58
GA3 - 609 ;1300.34
GA3 - 680 ;1069.33
GA3 - 698 ;1890.27
GA3 - 703 ;942.71
GA3 - 735 ;1881.21
GA3 - 887 ;1284.05
GA4 - 171 ;523.76
GA4 - 35 ;548.5
GA4 - 402 ;537.86
GA4 - 609 ;1154.5
GA4 - 680 ;1100.19
GA4 - 698 ;1700.89
GA4 - 703 ;1043.02
GA4 - 735 ;2254.43
GA4 - 887 ;1436.79
K1 - 171 ;528.06
K1 - 35 ;178.54
K1 - 402 ;739.71
K1 - 609 ;1325.98
K1 - 680 ;847.74
K1 - 698 ;2191.96
K1 - 703 ;1047.41
K1 - 735 ;1205.52
K1 - 887 ;1755.26
K2 - 171 ;3325.73
K2 - 35 ;407.58
K2 - 402 ;952.85
K2 - 609 ;1123.02
K2 - 680 ;1866.87
K2 - 698 ;2617.39
K2 - 703 ;1313.14
K2 - 735 ;2291.16
K2 - 887 ;1847.75
K3 - 171 ;2190.3
K3 - 35 ;394.6
K3 - 402 ;694.07
K3 - 609 ;1617.13
K3 - 680 ;1806.74
K3 - 698 ;1359.33
K3 - 703 ;1238.53
K3 - 735 ;1941.37
K3 - 887 ;2585.53
K4 - 171 ;1052.38
K4 - 35 ;4438.56
K4 - 402 ;639.19
K4 - 609 ;1101.62
K4 - 680 ;1162.99
K4 - 698 ;1028.51
K4 - 703 ;1111.5
K4 - 735 ;2535.16
K4 - 887 ;1123.31
GA1 - 171 ;482.77
GA1 - 35 ;106.7
GA1 - 402 ;522.42
GA1 - 609 ;1219.44
GA1 - 680 ;861.76
GA1 - 698 ;1142.77
GA1 - 703 ;685.64
GA1 - 735 ;1769.17
GA1 - 887 ;669.85
GA2 - 171 ;705.1
GA2 - 35 ;113.27
GA2 - 402 ;746.49
GA2 - 609 ;902.3
GA2 - 680 ;765.42
GA2 - 698 ;2094.37
GA2 - 703 ;817.67
GA2 - 735 ;3251.03
GA2 - 887 ;1046.92
GA3 - 171 ;573.78
GA3 - 35 ;326.12
GA3 - 402 ;1190.16
GA3 - 609 ;954.52
GA3 - 680 ;601.72
GA3 - 698 ;563.19
GA3 - 703 ;1236.14
GA3 - 735 ;1020.08
GA3 - 887 ;705.95
GA4 - 171 ;1104.75
GA4 - 35 ;437.01
GA4 - 402 ;2141.02
GA4 - 609 ;739.99
GA4 - 680 ;882.28
GA4 - 698 ;1622.69
GA4 - 703 ;788.95
GA4 - 735 ;1955.21
GA4 - 887 ;624.25
K1 - 171 ;430.95
K1 - 35 ;135.54
K1 - 402 ;886.09
K1 - 609 ;762.64
K1 - 680 ;510.5
K1 - 698 ;1469.11
K1 - 703 ;825.11
K1 - 735 ;1309.95
K1 - 887 ;1906.43
K2 - 171 ;1839.36
K2 - 35 ;299.79
K2 - 402 ;1220.29
K2 - 609 ;635.86
K2 - 680 ;1477.16
K2 - 698 ;1140.08
K2 - 703 ;660.95
K2 - 735 ;1243.47
K2 - 887 ;589.15
K3 - 171 ;2732.56
K3 - 35 ;86.49
K3 - 402 ;1242.38
K3 - 609 ;679.67
K3 - 680 ;3235.87
K3 - 698 ;312.82
K3 - 703 ;1002.5
K3 - 735 ;1430.69
K3 - 887 ;1277.88
K4 - 171 ;1057.66
K4 - 35 ;689.86
K4 - 402 ;279.27
K4 - 609 ;1300.54
K4 - 680 ;662.51
K4 - 698 ;1088.93
K4 - 703 ;1341.93
K4 - 735 ;2228.64
K4 - 887 ;797.48
;
JA;
GA1 - 171 ;13.31
GA1 - 35 ;48.51
GA1 - 402 ;88.18
GA1 - 609 ;21.27
GA1 - 680 ;43.5
GA1 - 698 ;40.94
GA1 - 703 ;27.58
GA1 - 735 ;30.08
GA1 - 887 ;37.72
GA2 - 171 ;2.96
GA2 - 35 ;4.07
GA2 - 402 ;10.41
GA2 - 609 ;10.68
GA2 - 680 ;18.06
GA2 - 698 ;53.29
GA2 - 703 ;36.57
GA2 - 735 ;17.18
GA2 - 887 ;10.44
GA3 - 171 ;14.27
GA3 - 35 ;18.6
GA3 - 402 ;20.63
GA3 - 609 ;4.75
GA3 - 680 ;16.5
GA3 - 698 ;32.85
GA3 - 703 ;79.34
GA3 - 735 ;41.65
GA3 - 887 ;20.12
GA4 - 171 ;38.73
GA4 - 35 ;10.47
GA4 - 402 ;104.45
GA4 - 609 ;9.52
GA4 - 680 ;53.81
GA4 - 698 ;43.54
GA4 - 703 ;6.36
GA4 - 735 ;22.58
GA4 - 887 ;28.31
K1 - 171 ;22.72
K1 - 35 ;14.77
K1 - 402 ;17.65
K1 - 609 ;7.64
K1 - 680 ;108.47
K1 - 698 ;69.76
K1 - 703 ;14.79
K1 - 735 ;31.95
K1 - 887 ;10.21
K2 - 171 ;49.08
K2 - 35 ;8.26
K2 - 402 ;47.99
K2 - 609 ;14.27
K2 - 680 ;19.51
K2 - 698 ;24.99
K2 - 703 ;47.23
K2 - 735 ;113.55
K2 - 887 ;2.98
K3 - 171 ;2.32
K3 - 35 ;7.22
K3 - 402 ;18.14
K3 - 609 ;16.63
K3 - 680 ;30.0
K3 - 698 ;13.62
K3 - 703 ;41.43
K3 - 735 ;73.91
K3 - 887 ;78.89
K4 - 171 ;4.81
K4 - 35 ;5.46
K4 - 402 ;6.61
K4 - 609 ;12.57
K4 - 680 ;19.2
K4 - 698 ;19.55
K4 - 703 ;45.45
K4 - 735 ;10.54
K4 - 887 ;38.46
GA1 - 171 ;54.34
GA1 - 35 ;42.8
GA1 - 402 ;65.32
GA1 - 609 ;39.01
GA1 - 680 ;4.3
GA1 - 698 ;84.31
GA1 - 703 ;26.17
GA1 - 735 ;46.12
GA1 - 887 ;51.7
GA2 - 171 ;75.32
GA2 - 35 ;68.74
GA2 - 402 ;97.38
GA2 - 609 ;101.95
GA2 - 680 ;69.51
GA2 - 698 ;103.25
GA2 - 703 ;7.56
GA2 - 735 ;43.25
GA2 - 887 ;197.27
GA3 - 171 ;23.96
GA3 - 35 ;59.95
GA3 - 402 ;5.74
GA3 - 609 ;39.95
GA3 - 680 ;24.89
GA3 - 698 ;201.53
GA3 - 703 ;79.26
GA3 - 735 ;96.19
GA3 - 887 ;133.01
GA4 - 171 ;18.0
GA4 - 35 ;136.84
GA4 - 402 ;18.51
GA4 - 609 ;102.29
GA4 - 680 ;16.48
GA4 - 698 ;6.36
GA4 - 703 ;83.35
GA4 - 735 ;134.19
GA4 - 887 ;60.28
K1 - 171 ;24.29
K1 - 35 ;47.49
K1 - 402 ;31.27
K1 - 609 ;11.94
K1 - 680 ;16.19
K1 - 698 ;27.22
K1 - 703 ;238.57
K1 - 735 ;106.0
K1 - 887 ;16.22
K2 - 171 ;86.43
K2 - 35 ;4.19
K2 - 402 ;18.33
K2 - 609 ;35.25
K2 - 680 ;57.25
K2 - 698 ;38.68
K2 - 703 ;119.97
K2 - 735 ;11.01
K2 - 887 ;17.06
K3 - 171 ;23.13
K3 - 35 ;144.46
K3 - 402 ;57.27
K3 - 609 ;79.06
K3 - 680 ;1.46
K3 - 698 ;17.65
K3 - 703 ;114.77
K3 - 735 ;38.87
K3 - 887 ;36.15
K4 - 171 ;32.56
K4 - 35 ;69.85
K4 - 402 ;116.41
K4 - 609 ;154.85
K4 - 680 ;48.21
K4 - 698 ;99.99
K4 - 703 ;52.17
K4 - 735 ;96.64
K4 - 887 ;150.6
GA1 - 171 ;6.99
GA1 - 35 ;17.79
GA1 - 402 ;24.32
GA1 - 609 ;57.71
GA1 - 680 ;6.97
GA1 - 698 ;45.25
GA1 - 703 ;12.73
GA1 - 735 ;30.38
GA1 - 887 ;3.81
GA2 - 171 ;4.02
GA2 - 35 ;25.47
GA2 - 402 ;7.78
GA2 - 609 ;14.8
GA2 - 680 ;1.38
GA2 - 698 ;4.29
GA2 - 703 ;3.57
GA2 - 735 ;20.86
GA2 - 887 ;8.29
GA3 - 171 ;2.87
GA3 - 35 ;6.65
GA3 - 402 ;4.24
GA3 - 609 ;17.25
GA3 - 680 ;15.78
GA3 - 698 ;3.73
GA3 - 703 ;25.84
GA3 - 735 ;41.78
GA3 - 887 ;9.65
GA4 - 171 ;6.71
GA4 - 35 ;13.75
GA4 - 402 ;11.2
GA4 - 609 ;10.16
GA4 - 680 ;2.71
GA4 - 698 ;6.65
GA4 - 703 ;38.49
GA4 - 735 ;17.59
GA4 - 887 ;10.76
K1 - 171 ;8.5
K1 - 35 ;8.41
K1 - 402 ;17.38
K1 - 609 ;17.93
K1 - 680 ;10.79
K1 - 698 ;2.2
K1 - 703 ;12.39
K1 - 735 ;26.84
K1 - 887 ;18.26
K2 - 171 ;4.46
K2 - 35 ;11.97
K2 - 402 ;12.17
K2 - 609 ;5.19
K2 - 680 ;22.06
K2 - 698 ;13.16
K2 - 703 ;22.76
K2 - 735 ;29.86
K2 - 887 ;7.43
K3 - 171 ;4.13
K3 - 35 ;7.18
K3 - 402 ;15.15
K3 - 609 ;12.48
K3 - 680 ;15.69
K3 - 698 ;10.54
K3 - 703 ;4.37
K3 - 735 ;4.91
K3 - 887 ;11.93
K4 - 171 ;7.83
K4 - 35 ;8.19
K4 - 402 ;7.41
K4 - 609 ;24.49
K4 - 680 ;36.91
K4 - 698 ;28.9
K4 - 703 ;3.86
K4 - 735 ;27.27
K4 - 887 ;21.04
GA1 - 171 ;14.89
GA1 - 35 ;11.65
GA1 - 402 ;24.22
GA1 - 609 ;52.22
GA1 - 680 ;20.42
GA1 - 698 ;9.61
GA1 - 703 ;15.16
GA1 - 735 ;32.11
GA1 - 887 ;21.23
GA2 - 171 ;20.73
GA2 - 35 ;12.74
GA2 - 402 ;34.92
GA2 - 609 ;30.42
GA2 - 680 ;25.39
GA2 - 698 ;17.54
GA2 - 703 ;15.66
GA2 - 735 ;20.79
GA2 - 887 ;38.33
GA3 - 171 ;16.6
GA3 - 35 ;2.4
GA3 - 402 ;14.89
GA3 - 609 ;6.69
GA3 - 680 ;30.47
GA3 - 698 ;21.78
GA3 - 703 ;9.28
GA3 - 735 ;43.87
GA3 - 887 ;37.76
GA4 - 171 ;8.19
GA4 - 35 ;12.81
GA4 - 402 ;13.91
GA4 - 609 ;47.62
GA4 - 680 ;31.79
GA4 - 698 ;19.23
GA4 - 703 ;11.09
GA4 - 735 ;22.69
GA4 - 887 ;45.61
K1 - 171 ;1.95
K1 - 35 ;4.72
K1 - 402 ;13.74
K1 - 609 ;10.39
K1 - 680 ;14.3
K1 - 698 ;12.12
K1 - 703 ;27.31
K1 - 735 ;16.5
K1 - 887 ;21.96
K2 - 171 ;9.38
K2 - 35 ;14.16
K2 - 402 ;12.14
K2 - 609 ;21.8
K2 - 680 ;5.64
K2 - 698 ;5.93
K2 - 703 ;23.55
K2 - 735 ;23.84
K2 - 887 ;23.39
K3 - 171 ;0.66
K3 - 35 ;12.19
K3 - 402 ;12.05
K3 - 609 ;8.28
K3 - 680 ;14.48
K3 - 698 ;11.98
K3 - 703 ;13.61
K3 - 735 ;38.94
K3 - 887 ;28.63
K4 - 171 ;19.23
K4 - 35 ;12.53
K4 - 402 ;18.03
K4 - 609 ;18.39
K4 - 680 ;3.01
K4 - 698 ;19.78
K4 - 703 ;18.13
K4 - 735 ;20.37
K4 - 887 ;18.21
;
IAA;
GA1 - 171 ;7.42
GA1 - 35 ;8.78
GA1 - 402 ;7.11
GA1 - 609 ;6.22
GA1 - 680 ;8.96
GA1 - 698 ;12.62
GA1 - 703 ;8.99
GA1 - 735 ;10.55
GA1 - 887 ;10.82
GA2 - 171 ;5.04
GA2 - 35 ;6.95
GA2 - 402 ;8.5
GA2 - 609 ;10.94
GA2 - 680 ;10.27
GA2 - 698 ;8.44
GA2 - 703 ;11.3
GA2 - 735 ;12.18
GA2 - 887 ;11.36
GA3 - 171 ;7.54
GA3 - 35 ;7.16
GA3 - 402 ;11.52
GA3 - 609 ;6.05
GA3 - 680 ;10.5
GA3 - 698 ;9.84
GA3 - 703 ;12.35
GA3 - 735 ;9.56
GA3 - 887 ;9.43
GA4 - 171 ;6.93
GA4 - 35 ;10.1
GA4 - 402 ;12.23
GA4 - 609 ;5.83
GA4 - 680 ;11.96
GA4 - 698 ;8.22
GA4 - 703 ;6.88
GA4 - 735 ;6.78
GA4 - 887 ;8.68
K1 - 171 ;9.81
K1 - 35 ;7.01
K1 - 402 ;8.8
K1 - 609 ;4.82
K1 - 680 ;13.19
K1 - 698 ;11.49
K1 - 703 ;9.56
K1 - 735 ;8.66
K1 - 887 ;7.83
K2 - 171 ;10.34
K2 - 35 ;11.62
K2 - 402 ;10.07
K2 - 609 ;6.11
K2 - 680 ;12.18
K2 - 698 ;14.26
K2 - 703 ;16.89
K2 - 735 ;11.19
K2 - 887 ;9.19
K3 - 171 ;6.2
K3 - 35 ;11.41
K3 - 402 ;8.76
K3 - 609 ;8.41
K3 - 680 ;14.69
K3 - 698 ;11.88
K3 - 703 ;14.51
K3 - 735 ;11.52
K3 - 887 ;9.8
K4 - 171 ;9.87
K4 - 35 ;8.91
K4 - 402 ;11.39
K4 - 609 ;5.07
K4 - 680 ;10.38
K4 - 698 ;11.3
K4 - 703 ;11.14
K4 - 735 ;6.09
K4 - 887 ;9.09
GA1 - 171 ;7.76
GA1 - 35 ;7.42
GA1 - 402 ;8.33
GA1 - 609 ;5.74
GA1 - 680 ;8.8
GA1 - 698 ;9.13
GA1 - 703 ;5.94
GA1 - 735 ;8.22
GA1 - 887 ;7.33
GA2 - 171 ;12.18
GA2 - 35 ;8.34
GA2 - 402 ;7.39
GA2 - 609 ;9.2
GA2 - 680 ;6.96
GA2 - 698 ;8.32
GA2 - 703 ;9.02
GA2 - 735 ;10.14
GA2 - 887 ;7.97
GA3 - 171 ;8.48
GA3 - 35 ;7.61
GA3 - 402 ;10.63
GA3 - 609 ;7.07
GA3 - 680 ;8.33
GA3 - 698 ;9.05
GA3 - 703 ;10.79
GA3 - 735 ;6.96
GA3 - 887 ;11.13
GA4 - 171 ;12.01
GA4 - 35 ;8.32
GA4 - 402 ;9.15
GA4 - 609 ;9.48
GA4 - 680 ;13.55
GA4 - 698 ;7.9
GA4 - 703 ;12.39
GA4 - 735 ;13.17
GA4 - 887 ;6.93
K1 - 171 ;9.78
K1 - 35 ;6.51
K1 - 402 ;6.5
K1 - 609 ;5.84
K1 - 680 ;10.63
K1 - 698 ;7.59
K1 - 703 ;12.58
K1 - 735 ;8.98
K1 - 887 ;9.69
K2 - 171 ;11.35
K2 - 35 ;7.68
K2 - 402 ;6.26
K2 - 609 ;5.67
K2 - 680 ;9.62
K2 - 698 ;10.87
K2 - 703 ;8.74
K2 - 735 ;4.22
K2 - 887 ;6.95
K3 - 171 ;11.12
K3 - 35 ;8.35
K3 - 402 ;10.62
K3 - 609 ;7.55
K3 - 680 ;8.77
K3 - 698 ;8.02
K3 - 703 ;10.13
K3 - 735 ;7.99
K3 - 887 ;10.5
K4 - 171 ;11.29
K4 - 35 ;8.87
K4 - 402 ;12.54
K4 - 609 ;8.57
K4 - 680 ;13.24
K4 - 698 ;8.73
K4 - 703 ;10.51
K4 - 735 ;6.2
K4 - 887 ;9.43
GA1 - 171 ;13.5
GA1 - 35 ;3.67
GA1 - 402 ;10.11
GA1 - 609 ;9.55
GA1 - 680 ;9.47
GA1 - 698 ;9.59
GA1 - 703 ;7.62
GA1 - 735 ;8.38
GA1 - 887 ;11.53
GA2 - 171 ;8.96
GA2 - 35 ;5.82
GA2 - 402 ;12.44
GA2 - 609 ;8.66
GA2 - 680 ;10.91
GA2 - 698 ;10.66
GA2 - 703 ;6.68
GA2 - 735 ;8.78
GA2 - 887 ;6.87
GA3 - 171 ;10.62
GA3 - 35 ;4.94
GA3 - 402 ;13.03
GA3 - 609 ;7.84
GA3 - 680 ;7.16
GA3 - 698 ;7.58
GA3 - 703 ;6.18
GA3 - 735 ;9.66
GA3 - 887 ;10.91
GA4 - 171 ;8.7
GA4 - 35 ;5.0
GA4 - 402 ;8.1
GA4 - 609 ;7.11
GA4 - 680 ;11.9
GA4 - 698 ;9.88
GA4 - 703 ;9.94
GA4 - 735 ;4.94
GA4 - 887 ;13.59
K1 - 171 ;12.95
K1 - 35 ;4.8
K1 - 402 ;8.46
K1 - 609 ;8.44
K1 - 680 ;14.64
K1 - 698 ;7.23
K1 - 703 ;14.73
K1 - 735 ;10.51
K1 - 887 ;9.35
K2 - 171 ;13.31
K2 - 35 ;4.72
K2 - 402 ;8.46
K2 - 609 ;5.16
K2 - 680 ;15.02
K2 - 698 ;12.21
K2 - 703 ;8.63
K2 - 735 ;10.13
K2 - 887 ;8.99
K3 - 171 ;10.06
K3 - 35 ;6.21
K3 - 402 ;12.2
K3 - 609 ;7.55
K3 - 680 ;8.13
K3 - 698 ;10.59
K3 - 703 ;7.74
K3 - 735 ;8.63
K3 - 887 ;11.44
K4 - 171 ;9.64
K4 - 35 ;4.13
K4 - 402 ;8.08
K4 - 609 ;8.42
K4 - 680 ;6.18
K4 - 698 ;8.4
K4 - 703 ;5.94
K4 - 735 ;7.92
K4 - 887 ;11.4
GA1 - 171 ;16.68
GA1 - 35 ;5.85
GA1 - 402 ;5.13
GA1 - 609 ;10.12
GA1 - 680 ;4.89
GA1 - 698 ;6.72
GA1 - 703 ;13.98
GA1 - 735 ;3.13
GA1 - 887 ;5.46
GA2 - 171 ;11.11
GA2 - 35 ;2.8
GA2 - 402 ;8.16
GA2 - 609 ;25.18
GA2 - 680 ;4.4
GA2 - 698 ;9.38
GA2 - 703 ;8.99
GA2 - 735 ;7.26
GA2 - 887 ;5.05
GA3 - 171 ;53.13
GA3 - 35 ;3.37
GA3 - 402 ;19.24
GA3 - 609 ;14.53
GA3 - 680 ;8.1
GA3 - 698 ;6.93
GA3 - 703 ;14.99
GA3 - 735 ;4.31
GA3 - 887 ;5.64
GA4 - 171 ;23.97
GA4 - 35 ;5.92
GA4 - 402 ;16.7
GA4 - 609 ;14.79
GA4 - 680 ;5.01
GA4 - 698 ;7.82
GA4 - 703 ;7.11
GA4 - 735 ;3.45
GA4 - 887 ;3.86
K1 - 171 ;7.53
K1 - 35 ;4.69
K1 - 402 ;5.04
K1 - 609 ;13.09
K1 - 680 ;4.24
K1 - 698 ;7.3
K1 - 703 ;15.79
K1 - 735 ;8.02
K1 - 887 ;10.4
K2 - 171 ;10.93
K2 - 35 ;10.31
K2 - 402 ;10.93
K2 - 609 ;7.86
K2 - 680 ;13.12
K2 - 698 ;7.25
K2 - 703 ;10.1
K2 - 735 ;4.79
K2 - 887 ;5.39
K3 - 171 ;4.22
K3 - 35 ;9.86
K3 - 402 ;9.01
K3 - 609 ;5.83
K3 - 680 ;14.83
K3 - 698 ;4.85
K3 - 703 ;10.37
K3 - 735 ;7.46
K3 - 887 ;7.23
K4 - 171 ;15.39
K4 - 35 ;5.42
K4 - 402 ;6.11
K4 - 609 ;10.88
K4 - 680 ;8.11
K4 - 698 ;5.81
K4 - 703 ;9.47
K4 - 735 ;4.64
K4 - 887 ;3.79
;
SA;
GA1 - 171 ;66.61
GA1 - 35 ;84.0
GA1 - 402 ;24.01
GA1 - 609 ;96.15
GA1 - 680 ;79.79
GA1 - 698 ;128.84
GA1 - 703 ;40.82
GA1 - 735 ;182.87
GA1 - 887 ;187.55
GA2 - 171 ;39.42
GA2 - 35 ;99.45
GA2 - 402 ;41.97
GA2 - 609 ;166.95
GA2 - 680 ;80.16
GA2 - 698 ;34.99
GA2 - 703 ;30.56
GA2 - 735 ;50.82
GA2 - 887 ;147.4
GA3 - 171 ;105.66
GA3 - 35 ;125.16
GA3 - 402 ;38.47
GA3 - 609 ;71.71
GA3 - 680 ;95.53
GA3 - 698 ;42.94
GA3 - 703 ;32.04
GA3 - 735 ;57.17
GA3 - 887 ;237.24
GA4 - 171 ;69.59
GA4 - 35 ;191.47
GA4 - 402 ;36.75
GA4 - 609 ;117.7
GA4 - 680 ;80.51
GA4 - 698 ;60.37
GA4 - 703 ;32.49
GA4 - 735 ;140.76
GA4 - 887 ;172.13
K1 - 171 ;59.05
K1 - 35 ;90.41
K1 - 402 ;67.89
K1 - 609 ;41.27
K1 - 680 ;74.45
K1 - 698 ;43.47
K1 - 703 ;32.0
K1 - 735 ;59.51
K1 - 887 ;397.19
K2 - 171 ;80.62
K2 - 35 ;129.26
K2 - 402 ;47.8
K2 - 609 ;77.1
K2 - 680 ;87.15
K2 - 698 ;66.54
K2 - 703 ;144.56
K2 - 735 ;36.89
K2 - 887 ;169.72
K3 - 171 ;44.39
K3 - 35 ;110.95
K3 - 402 ;76.23
K3 - 609 ;72.39
K3 - 680 ;69.53
K3 - 698 ;200.4
K3 - 703 ;38.0
K3 - 735 ;35.13
K3 - 887 ;110.17
K4 - 171 ;62.78
K4 - 35 ;106.28
K4 - 402 ;40.54
K4 - 609 ;58.62
K4 - 680 ;95.63
K4 - 698 ;42.38
K4 - 703 ;33.4
K4 - 735 ;34.67
K4 - 887 ;129.51
GA1 - 171 ;48.07
GA1 - 35 ;97.03
GA1 - 402 ;36.26
GA1 - 609 ;93.8
GA1 - 680 ;59.67
GA1 - 698 ;44.9
GA1 - 703 ;20.9
GA1 - 735 ;129.17
GA1 - 887 ;154.15
GA2 - 171 ;56.31
GA2 - 35 ;135.47
GA2 - 402 ;32.09
GA2 - 609 ;75.09
GA2 - 680 ;77.94
GA2 - 698 ;43.62
GA2 - 703 ;45.87
GA2 - 735 ;84.09
GA2 - 887 ;190.52
GA3 - 171 ;48.2
GA3 - 35 ;120.49
GA3 - 402 ;43.88
GA3 - 609 ;67.03
GA3 - 680 ;63.52
GA3 - 698 ;44.6
GA3 - 703 ;53.2
GA3 - 735 ;23.22
GA3 - 887 ;133.89
GA4 - 171 ;71.59
GA4 - 35 ;206.64
GA4 - 402 ;35.66
GA4 - 609 ;83.08
GA4 - 680 ;78.23
GA4 - 698 ;38.58
GA4 - 703 ;36.23
GA4 - 735 ;46.57
GA4 - 887 ;164.17
K1 - 171 ;40.79
K1 - 35 ;78.15
K1 - 402 ;57.29
K1 - 609 ;66.25
K1 - 680 ;48.78
K1 - 698 ;48.05
K1 - 703 ;59.21
K1 - 735 ;54.38
K1 - 887 ;455.41
K2 - 171 ;67.13
K2 - 35 ;129.6
K2 - 402 ;30.49
K2 - 609 ;113.75
K2 - 680 ;101.46
K2 - 698 ;31.49
K2 - 703 ;43.64
K2 - 735 ;25.98
K2 - 887 ;219.04
K3 - 171 ;43.82
K3 - 35 ;174.47
K3 - 402 ;36.39
K3 - 609 ;79.5
K3 - 680 ;55.05
K3 - 698 ;106.51
K3 - 703 ;53.66
K3 - 735 ;33.9
K3 - 887 ;603.68
K4 - 171 ;88.14
K4 - 35 ;160.35
K4 - 402 ;67.23
K4 - 609 ;87.7
K4 - 680 ;73.51
K4 - 698 ;48.27
K4 - 703 ;49.35
K4 - 735 ;30.95
K4 - 887 ;154.9
GA1 - 171 ;234.17
GA1 - 35 ;82.2
GA1 - 402 ;34.82
GA1 - 609 ;124.0
GA1 - 680 ;44.66
GA1 - 698 ;47.7
GA1 - 703 ;55.97
GA1 - 735 ;25.81
GA1 - 887 ;85.39
GA2 - 171 ;44.26
GA2 - 35 ;57.37
GA2 - 402 ;57.01
GA2 - 609 ;148.5
GA2 - 680 ;50.29
GA2 - 698 ;34.34
GA2 - 703 ;63.31
GA2 - 735 ;40.71
GA2 - 887 ;83.28
GA3 - 171 ;32.28
GA3 - 35 ;121.89
GA3 - 402 ;130.07
GA3 - 609 ;142.46
GA3 - 680 ;50.93
GA3 - 698 ;58.25
GA3 - 703 ;88.26
GA3 - 735 ;46.88
GA3 - 887 ;76.13
GA4 - 171 ;38.77
GA4 - 35 ;83.97
GA4 - 402 ;36.38
GA4 - 609 ;165.43
GA4 - 680 ;65.84
GA4 - 698 ;25.46
GA4 - 703 ;74.77
GA4 - 735 ;34.77
GA4 - 887 ;89.98
K1 - 171 ;33.99
K1 - 35 ;50.91
K1 - 402 ;43.61
K1 - 609 ;96.87
K1 - 680 ;68.39
K1 - 698 ;241.99
K1 - 703 ;63.72
K1 - 735 ;55.56
K1 - 887 ;106.7
K2 - 171 ;281.39
K2 - 35 ;86.95
K2 - 402 ;29.57
K2 - 609 ;134.39
K2 - 680 ;125.66
K2 - 698 ;268.97
K2 - 703 ;48.48
K2 - 735 ;28.56
K2 - 887 ;133.74
K3 - 171 ;39.85
K3 - 35 ;64.66
K3 - 402 ;38.62
K3 - 609 ;94.63
K3 - 680 ;176.7
K3 - 698 ;35.8
K3 - 703 ;65.73
K3 - 735 ;31.48
K3 - 887 ;132.8
K4 - 171 ;45.38
K4 - 35 ;90.3
K4 - 402 ;46.42
K4 - 609 ;112.31
