Sample_Number;Sample_Name;GA4;GA1;GA7;GA3;GA5;GA34;GA8;ABA;JA;IAA;SA;DHZ;iP;tZ;Control;Hormone_Treated;Trip_Number
L257;GA3 - 680 - C;52.055;0.572;27.55;162.081;21.99;5.04;3.86;1069.33;15.78;7.16;50.93;0.24;0.03;0.04;False;True;3
L258;GA4 - 680 - C;18.911;1.296;31.18;161.953;29.05;4.75;4.35;1100.19;2.71;11.9;65.84;0.2;0.02;0.04;False;True;3
L259;K1 - 402 - C;0.509;0.975;2.09;92.983;22.63;0.08;6.27;739.71;17.38;8.46;43.61;0.17;0.01;0.04;True;False;3
L260;K2 - 402 - C;0.85;1.029;1.76;80.563;22.99;0.07;6.86;952.85;12.17;8.46;29.57;0.14;0.01;0.03;True;False;3
L261;K3 - 402 - C;0.238;0.805;1.83;90.108;25.22;0.04;14.84;694.07;15.15;12.2;38.62;0.17;0.01;0.04;True;False;3
L262;K4 - 402 - C;0.461;1.39;1.71;72.231;22.05;0.04;6.86;639.19;7.41;8.08;46.42;0.17;0.01;0.04;True;False;3
L263;GA1 - 402 - C;171.245;1.651;163.01;74.838;20.82;0.7;10.17;1327.85;24.32;10.11;34.82;0.09;0.01;0.02;False;True;3
L264;GA2 - 402 - C;4.731;0.272;9.02;46.655;17.98;0.03;5.4;1355.42;7.78;12.44;57.01;0.11;0.01;0.03;False;True;3
L265;GA3 - 402 - C;7.513;0.305;6.01;32.381;6.9;0.1;3.12;2378.58;4.24;13.03;130.07;0.14;0.01;0.04;False;True;3
L266;GA4 - 402 - C;0.698;1.177;1.57;97.042;27.19;;7.46;537.86;11.2;8.1;36.38;0.21;0.01;0.04;False;True;3
L267;K1 - 171 - C;1.243;0.558;1.77;78.273;26.28;0.14;8.71;528.06;8.5;12.95;33.99;0.19;0.02;0.06;True;False;3
L268;K2 - 171 - C;0.487;0.366;0.46;52.853;14.9;0.09;4.81;3325.73;4.46;13.31;281.39;0.15;0.01;0.04;True;False;3
L269;K3 - 171 - C;3.876;0.579;0.92;80.154;27.25;0.18;4.95;2190.3;4.13;10.06;39.85;0.15;0.03;0.03;True;False;3
L270;K4 - 171 - C;0.385;0.451;0.75;94.122;29.58;0.13;5.93;1052.38;7.83;9.64;45.38;0.18;0.02;0.05;True;False;3
L271;GA1 - 171 - C;1.319;0.347;3.08;43.698;14.6;0.02;4.21;1504.21;6.99;13.5;234.17;0.14;0.02;0.03;False;True;3
L272;GA2 - 171 - C;0.7;0.485;2.81;78.009;20.99;;5.67;844.15;4.02;8.96;44.26;0.15;0.02;0.04;False;True;3
L273;GA3 - 171 - C;3.473;0.63;8.93;73.004;14.48;0.04;4.31;378.68;2.87;10.62;32.28;0.16;0.01;0.05;False;True;3
L274;GA4 - 171 - C;18.301;0.885;29.37;95.714;21.38;0.71;8.67;523.76;6.71;8.7;38.77;0.19;0.02;0.05;False;True;3
L275;K1 - 703 - C;3.657;0.372;0.61;53.989;8.01;0.73;1.53;1047.41;12.39;14.73;63.72;0.14;0.01;0.04;True;False;3
L276;K2 - 703 - C;3.255;0.335;1.16;59.078;8.0;0.59;1.6;1313.14;22.76;8.63;48.48;0.11;0.01;0.03;True;False;3
L277;K3 - 703 - C;0.813;0.253;1.66;80.038;18.77;0.55;2.96;1238.53;4.37;7.74;65.73;0.13;0.01;0.02;True;False;3
L278;K4 - 703 - C;5.043;0.618;1.07;86.403;14.03;1.57;2.13;1111.5;3.86;5.94;42.41;0.14;0.01;0.03;True;False;3
L279;GA1 - 703 - C;6.845;0.347;6.9;58.114;9.71;1.12;1.66;819.81;12.73;7.62;55.97;0.13;0.01;0.04;False;True;3
L280;GA2 - 703 - C;2.712;0.392;2.98;71.087;9.36;1.23;1.7;1098.77;3.57;6.68;63.31;0.2;0.01;0.04;False;True;3
L281;GA3 - 703 - C;5.827;0.333;0.65;37.182;8.31;0.6;1.29;942.71;25.84;6.18;88.26;0.13;0.01;0.04;False;True;3
L282;GA4 - 703 - C;1.595;0.341;5.31;52.081;6.16;0.35;3.03;1043.02;38.49;9.94;74.77;0.16;0.01;0.05;False;True;3
L283;K1 - 609 - C;2.839;0.741;1.4;63.553;39.26;0.97;5.18;1325.98;17.93;8.44;96.87;0.22;0.02;0.04;True;False;3
L284;K2 - 609 - C;0.662;0.621;;65.715;39.24;0.27;7.12;1123.02;5.19;5.16;134.39;0.25;0.01;0.03;True;False;3
L285;K3 - 609 - C;0.275;1.436;0.72;102.452;49.58;0.55;21.73;1617.13;12.48;7.55;94.63;0.2;0.01;0.03;True;False;3
L286;K4 - 609 - C;2.033;1.382;1.19;107.63;51.35;0.41;5.71;1101.62;24.49;8.42;112.31;0.23;0.02;0.03;True;False;3
L287;GA1 - 609 - C;2.502;0.777;5.12;86.936;38.65;0.37;7.92;1555.13;57.71;9.55;124.0;0.18;0.02;0.03;False;True;3
L288;GA2 - 609 - C;11.689;0.956;19.21;112.023;28.71;1.15;7.46;834.76;14.8;8.66;148.5;0.26;0.01;0.05;False;True;3
L289;GA3 - 609 - C;12.17;0.708;7.8;85.654;52.46;0.67;5.72;1300.34;17.25;7.84;142.46;0.25;0.02;0.03;False;True;3
L290;GA4 - 609 - C;9.786;1.012;8.01;91.606;43.48;0.91;8.77;1154.5;10.16;7.11;165.43;0.26;0.02;0.04;False;True;3
L291;K1 - 35 - C;0.116;0.767;3.29;105.706;15.41;0.42;5.36;178.54;8.41;4.8;50.91;0.19;0.02;0.04;True;False;3
L292;K2 - 35 - C;0.72;0.72;1.19;103.707;26.22;0.64;5.98;407.58;11.97;4.72;86.95;0.22;0.03;0.05;True;False;3
L293;K3 - 35 - C;0.958;0.459;0.29;111.104;16.56;0.49;4.58;394.6;7.18;6.21;64.66;0.15;0.02;0.03;True;False;3
L294;K4 - 35 - C;0.908;0.438;1.61;108.938;9.56;0.88;4.57;4438.56;8.19;4.13;90.3;0.15;0.02;0.03;True;False;3
L295;GA1 - 35 - C;2.372;0.452;4.69;94.104;23.24;0.91;5.16;187.24;17.79;3.67;82.2;0.16;0.02;0.04;False;True;3
L296;GA2 - 35 - C;51.361;1.059;79.02;92.02;10.69;1.78;3.23;367.71;25.47;5.82;57.37;0.19;0.02;0.06;False;True;3
L297;GA3 - 35 - C;3.95;0.646;4.62;88.317;10.26;0.77;4.67;235.82;6.65;4.94;121.89;0.23;0.02;0.05;False;True;3
L298;GA4 - 35 - C;4.326;0.474;7.29;93.105;19.82;0.85;3.97;548.5;13.75;5.0;83.97;0.31;0.03;0.05;False;True;3
L299;K1 - 887 - D;1.475;0.266;3.46;31.829;8.93;0.09;4.13;1906.43;21.96;10.4;293.08;0.2;0.02;0.03;True;False;4
L300;K2 - 887 - D;10.684;0.576;3.84;81.384;16.04;0.23;4.0;589.15;23.39;5.39;89.96;0.24;0.03;0.05;True;False;4
L301;K3 - 887 - D;1.125;0.627;4.54;69.336;21.81;0.12;4.82;1277.88;28.63;7.23;107.86;0.19;0.02;0.02;True;False;4
L302;K4 - 887 - D;4.181;0.57;1.16;73.691;20.02;0.21;3.69;797.48;18.21;3.79;156.09;0.2;0.03;0.03;True;False;4
L303;GA1 - 887 - D;169.245;2.462;165.7;112.321;18.85;5.22;5.88;669.85;21.23;5.46;60.47;0.17;0.03;0.03;False;True;4
L304;GA2 - 887 - D;80.661;0.856;95.73;85.024;20.47;3.72;7.84;1046.92;38.33;5.05;114.14;0.24;0.05;0.04;False;True;4
